collectivite,reseau,identifiant
Ville de Bourg-en-Bresse,Bourg-en-Bresse - La Vinaigrerie,0108C
Lisieux,ZUP DE HAUTEVILLE,1402C
VILLE DE LA ROCHELLE,RESEAU DE CHALEUR DE SALINES ENERGIES SERVICES,1701C
DIJON METROPOLE,SODIEN,2102C
Grand Besançon Métropole,Besançon OUEST,2501C
VILLE DE VALENCE,Réseau de chaleur Ville de Valence,2601C
Evreux Portes de Normandie,THERMEVRA,2701C
Ville d'Alès,chauffage urbain de la ville d'alès,3002C
Toulouse métropole,Blagnac Energies Vertes,3103C
Toulouse métropole,Toulouse Energie Durable,3112C
BORDEAUX METROPOLE,PLAINE DE GARONNE ENERGIES,3325C
BORDEAUX METROPOLE,MERIGNAC CENTRE ENERGIES,3335C
MONTPELLIER MEDITERANNEE METROPOLE,RESEAU MONTPELLIERAIN DE CHALEUR ET DE FROID (RMCF),3401C
Rennes Métropole,Réseau de chaleur de Rennes Sud,3506C
RENNES METROPOLE,RESEAU DE CHALEUR DE VEZIN LE COQu nCC oUET,3512C
Rennes Métropole,Réseau de chaleur de Chartres de Bretagne (ZAC des Portes de la Seiche),3514C
Saint-Etienne Métropole,Firminy,4206C
Mairie de Roanne,Roanne énergies - Réseau RN7,4207C
Saint-Etienne Métropole,Montreynaud,4210C
Saint-Etienne Métropole,Via Confort,4213C
Saint-Etienne Métropole,Saint-Chamond,4214C
Nantes Métropole,Centre Loire,4401C
Ville de Châteaubriant,Réseau de chaleur urbain de la Ville de Châteaubriant,4402C
Nantes Métropole,Bellevue Chantenay,4405C
Nantes Metropole,Réseau Nord Chézine,4410C
Orléans Métropole,Réseau de chaleur d'Orléans et Saint-Jean-de-la-Ruelle (SODC),4503C
VILLE DE MONTARGIS,MONTARGISENERGIES,4504C
Orléans Métropole,Réseau de chaleur de Fleury-les-Aubrais (SOFLEC),4505C
SYDED DU LOT,Réseau de Cahors,4614C
Métropole Grand Nancy,Saint Julien Kennedy,5401C
Métropole Grand Nancy,Ville de Vandoeuvre,5403C
Eurométropole de Metz,Eurométropole de Metz,5701C
Nevers Agglomération,Réseau de Chaleur Nevers Agglomération,5802C
METROPOLE EUROPEENNE DE LILLE,R ENERGIES,5901C
METROPOLE EUROPEENNE DE LILLE,VILLAE,5904C
METROPOLE EUROPEENNE DE LILLE,W Energies,5907C
SIN LE NOBLE,Réseau de chaleur Sin Le Noble,5908C
METROPOLE EUROPEENNE DE LILLE,MONS ENERGIE,5909C
METROPOLE EUROPEENNE DE LILLE,RESONOR,5910C
MAUBEUGE,MAUBEUGE ENERGIE RENOUVELABLE,5912C
Dunkerque,Energie Grand Littoral - Dunkerque,5914C
Hazebrouck,Energie Flandre,5916C
Nogent sur Oise,Qu n11 ouartier des Obiers,6003C
Béthune,Réseau de chaleur de Béthune,6204C
Liévin,Réseau de chaleur de Liévin,6206C
ARRAS,Réseau de chaleur d'Arras,6210C
Clermont Auvergne Métropole,CLERVIA,6306C
Clermont Auvergne Métropole,Clauvaé,6317C
La Métropole de Lyon,Vénissieux – Saint Fons,6901C
La Métropole de Lyon,Ouest Lyonnais,6904C
La Métropole de Lyon,Centre Metropole,6905C
La Métropole de Lyon,Grande Île,6906C
La Métropole de Lyon,Givors,6912C
La Métropole de Lyon,La Tour-de-Salvagny,6923C
GAC Chambéry Bassens Cognin La Motte-Servolex,R3C,7301C
Syane’Chaleur,Réseau de chaleur de Saint-Jeoire en Faucingny,7428C
Syane’Chaleur,Réseau de chaleur d’Ambilly _ Ville-La-Grand,7429C
Métropole Rouen Normandie,Petite Bouverie,7601C
Métropole Rouen Normandie,Réseau de Mont-Saint-Aignan,7605C
Métropole Rouen Normandie,Réseau de Petit-Qu n11 ouevilly,7607C
Métropole Rouen Normandie,Réseau Rouen Martainville,7612C
MELUN,ALMONT-MONTAIGU,7703C
Syndicat Mixte pour la Géothermie de Chelles,Réseau de chaleur de Chelles,7717C
GPS&O,Réseau de chaleur du Val Fourré,7802C
MAIRIE DE SAINT GERMAIN EN LAYE,ENERLAY,7805C
GPS&O,Les Mureaux bois énergie,7808C
Ville d'Amiens,Réseau de chauffage urbain de la ville d'Amiens,8002C
SYNDICAT MIXTE TRIFYL,Réseau de chaleur de Gaillac - ZAC de Pouille,8104C
SITTOMAT,Berthe,8304C
Grand Poitiers Communauté Urbaine,Poitiers Saint Benoit Buxerolles (PSBB),8601C
Limoges Métropole,Réseau de chaleur du Val de l'Aurence,8701C
Grand Paris Sud Seine Essonne Sénart,Réseau de chaleur Grand Paris Sud Énergie Positive.,9103C
Grand Paris Sud Seine Essonne Sénart,Réseau de chaleur du Grand Parc à Bondoufle,9122C
SMIREC,Réseau de chaleur de la Délégation de Service Public,9301C
Ville de Neuilly-sur-Marne,Réseau de chaleur géothermique de la Ville de Neuilly-sur-Marne,9305C
EPT Paris Terres d'Envol,Sevran Energie Biomasse (Sébio),9309C
SMIREC,Réseau de chaleur de La Courneuve,9313C
EPT Paris Terres d'Envol,BMES (Blanc Mesnil Energie Service),9316C
Etablissement Public Campinois de Géothermie,CHAMPIGNY SUR MARNE,9411C
Ville de Fresnes,Réseau de chaleur de Fresnes,9419C
Communauté d'agglomération de Cergy-Pontoise,Réseau de chaleur de Cergy-Pontoise,9503C
CA Val Parisis,SEFIR,9507C
Syndicat Intercommunal de Villiers-le-Bel / Gonesse,Société Thermique de Viliers-Le-Bel / Gonesse,9514C
